station_id,station_name,item_code,item_name,freq,source,n_days,n_valid,n_missing,n_imputed,missing_ratio,quality_flag,date_start,date_end,train_end,test_start,test_end
53001,昆明基准地震台,4112,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53001,昆明基准地震台,4313,水温观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53002,腾冲地震台,4112,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53002,腾冲地震台,4313,水温观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53002,腾冲地震台,4222,汞浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53003,洱源水化站,4112,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53003,洱源水化站,4312,水温观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53003,洱源水化站,4221,汞浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53004,洱源地震台,4211,氡浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53013,建水县局,4112,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53013,建水县局,4313,水温观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53016,曲江水化站,4212,氡浓度观测,daily,oridata,527,515,12,15,0.0228,usable,2025-01-01,2026-06-11,2026-02-26,2026-02-27,2026-06-09
53016,曲江水化站,4111,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53016,曲江水化站,4312,水温观测,daily,oridata,527,526,1,1,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53016,曲江水化站,4222,汞浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53020,元谋水化站,4214,氡浓度观测,daily,oridata,527,526,1,6,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53020,元谋水化站,4111,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53020,元谋水化站,4313,水温观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53020,元谋水化站,4222,汞浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53029,下关水化站,4211,氡浓度观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53029,下关水化站,4212,氡浓度观测,daily,oridata,527,526,1,1,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
53029,下关水化站,4112,水位观测,daily,oridata,527,526,1,0,0.0019,usable,2025-01-01,2026-06-11,2026-02-24,2026-02-25,2026-06-10
